ENST00000263100.8	A1BG	NM_130786.4
ENST00000355962.5	TAT	NM_000353.3
ENST00000276692.11	TATDN1	NM_032026.4
ENST00000448281.7	TATDN2	NM_014760.4
ENST00000366974.9	TATDN3	NM_001042552.3
ENST00000225525.4	TAX1BP3	NM_014604.4
ENST00000601016.6	TAZ	NM_000116.5
ENST00000261439.9	TBC1D1	NM_015173.4
ENST00000215790.12	TBC1D10A	NM_031937.3
ENST00000409939.8	TBC1D10B	NM_015527.4
ENST00000542590.2	TBC1D10C	NM_001369496.1
ENST00000225235.5	TBC1D12	NM_015188.2
ENST00000372648.10	TBC1D13	NM_018201.5
ENST00000409757.9	TBC1D14	NM_020773.3
ENST00000485960.7	TBC1D15	NM_001146213.3
ENST00000310924.7	TBC1D16	NM_019020.4
ENST00000221543.10	TBC1D17	NM_024682.3
ENST00000264866.9	TBC1D19	NM_018317.4
ENST00000465784.7	TBC1D2	NM_001267571.2
ENST00000354200.5	TBC1D20	NM_144628.4
ENST00000300504.7	TBC1D21	NM_153356.3
ENST00000337137.9	TBC1D22A	NM_014346.5
ENST00000373491.3	TBC1D22B	NM_017772.4
ENST00000394144.9	TBC1D23	NM_001199198.3
ENST00000646147.1	TBC1D24	NM_001199107.2
ENST00000376771.9	TBC1D25	NM_002536.4
ENST00000539867.6	TBC1D30	NM_015279.2
ENST00000287380.6	TBC1D31	NM_145647.4
ENST00000398212.7	TBC1D32	NM_152730.6
ENST00000569055.2	TBC1D3G	NM_001291462.2
ENST00000377636.8	TBC1D4	NM_014832.5
ENST00000379300.8	TBC1D7	NM_016495.6
ENST00000409318.2	TBC1D8	NM_001330348.2
ENST00000357242.10	TBC1D8B	NM_017752.3
ENST00000442267.3	TBC1D9	NM_015130.3
ENST00000355235.8	TBC1D9B	NM_015043.4
ENST00000380377.9	TBCA	NM_004607.3
ENST00000221855.8	TBCB	NM_001281.3
ENST00000372876.2	TBCC	NM_003192.3
ENST00000338733.10	TBCCD1	NM_018138.5
ENST00000355528.9	TBCD	NM_005993.5
ENST00000642610.2	TBCE	NM_003193.5
ENST00000394708.7	TBCK	NM_001163435.3
ENST00000331710.10	TBK1	NM_013254.4
ENST00000645353.2	TBL1X	NM_005647.4
ENST00000457928.7	TBL1XR1	NM_024665.7
ENST00000383032.6	TBL1Y	NM_033284.2
ENST00000305632.11	TBL2	NM_012453.4
ENST00000568546.6	TBL3	NM_006453.3
ENST00000392092.7	TBP	NM_003194.5
ENST00000237264.9	TBPL1	NM_004865.4
ENST00000389554.8	TBR1	NM_006593.4
ENST00000441174.8	TBRG1	NM_032811.3
ENST00000258770.8	TBRG4	NM_004749.4
ENST00000649276.2	TBX1	NM_001379200.1
ENST00000369429.5	TBX15	NM_001330677.2
ENST00000369663.10	TBX18	NM_001080508.3
ENST00000367821.8	TBX19	NM_005149.3
ENST00000240328.4	TBX2	NM_005994.4
ENST00000408931.4	TBX20	NM_001077653.2
ENST00000177694.2	TBX21	NM_013351.2
ENST00000373296.8	TBX22	NM_001109878.2
ENST00000349155.7	TBX3	NM_005996.4
ENST00000644296.1	TBX4	NM_001321120.2
ENST00000405440.7	TBX5	NM_181486.4
ENST00000395224.7	TBX6	NM_004608.4
ENST00000375190.10	TBXA2R	NM_001060.6
ENST00000448866.7	TBXAS1	NM_001061.7
ENST00000366876.7	TBXT	NM_001366285.2
ENST00000435962.7	TC2N	NM_001128596.3
ENST00000479870.6	TCAF1	NM_014719.3
ENST00000342649.9	TCAIM	NM_173826.4
ENST00000309889.3	TCAP	NM_003673.4
ENST00000521604.7	TCEA1	NM_006756.4
ENST00000343484.10	TCEA2	NM_003195.6
ENST00000450454.7	TCEA3	NM_003196.3
ENST00000372625.8	TCEAL1	NM_004780.3
ENST00000372780.6	TCEAL2	NM_080390.4
ENST00000372627.10	TCEAL3	NM_032926.3
ENST00000472484.6	TCEAL4	NM_001006935.3
ENST00000372680.2	TCEAL5	NM_001012979.3
ENST00000332431.5	TCEAL7	NM_152278.5
ENST00000372685.8	TCEAL8	NM_153333.3
ENST00000372661.6	TCEAL9	NM_016303.3
ENST00000234827.6	TCEANC2	NM_153035.3
ENST00000368642.4	TCERG1L	NM_174937.4
ENST00000333725.10	TCF12	NM_207037.2
ENST00000376257.8	TCF19	NM_007109.3
ENST00000677622.1	TCF20	NM_001378418.1
ENST00000367882.5	TCF21	NM_003206.4
ENST00000296096.6	TCF23	NM_175769.3
ENST00000563496.2	TCF24	NM_001193502.2
ENST00000263346.13	TCF25	NM_014972.3
ENST00000262965.12	TCF3	NM_003200.5
ENST00000354452.8	TCF4	NM_001083962.2
ENST00000342854.10	TCF7	NM_003202.5
ENST00000282111.4	TCF7L1	NM_031283.3
ENST00000627217.3	TCF7L2	NM_001146274.2
ENST00000335351.8	TCFL5	NM_006602.4
ENST00000368806.2	TCHHL1	NM_001008536.2
ENST00000405876.9	TCHP	NM_001143852.2
ENST00000315792.5	TCIM	NM_020130.5
ENST00000265686.8	TCIRG1	NM_006019.4
ENST00000402399.6	TCL1A	NM_021966.3
ENST00000340722.8	TCL1B	NM_004918.4
ENST00000257264.4	TCN1	NM_001062.4
ENST00000215838.8	TCN2	NM_000355.4
ENST00000643257.2	TCOF1	NM_001371623.1
ENST00000321394.12	TCP1	NM_030752.3
ENST00000300258.8	TCP10L	NM_144659.7
ENST00000311875.11	TCP11	NM_001370687.1
ENST00000334274.9	TCP11L1	NM_018393.4
ENST00000299045.8	TCP11L2	NM_152772.3
ENST00000371505.5	TCTE1	NM_182539.4
ENST00000366774.4	TCTE3	NM_174910.3
ENST00000282670.7	TCTEX1D1	NM_152665.3
ENST00000325318.10	TCTEX1D2	NM_152773.5
ENST00000339355.3	TCTEX1D4	NM_001377534.1
ENST00000397659.9	TCTN1	NM_001082538.3
ENST00000303372.7	TCTN2	NM_024809.5
ENST00000371217.10	TCTN3	NM_015631.6
ENST00000392872.8	TDG	NM_003211.6
ENST00000296145.6	TDGF1	NM_003212.4
ENST00000536354.3	TDO2	NM_005651.4
ENST00000335725.9	TDP1	NM_018319.4
ENST00000378198.9	TDP2	NM_016614.3
ENST00000368482.8	TDRD10	NM_182499.4
ENST00000405799.3	TDRD15	NM_001306137.2
ENST00000377881.8	TDRD3	NM_001146070.2
ENST00000444136.6	TDRD5	NM_001199085.3
ENST00000316081.11	TDRD6	NM_001010870.3
ENST00000355295.5	TDRD7	NM_014290.3
ENST00000409874.9	TDRD9	NM_153046.3
ENST00000368824.8	TDRKH	NM_001083965.2
ENST00000324079.11	TDRP	NM_001384899.1
ENST00000527636.7	TEAD1	NM_021961.6
ENST00000593945.6	TEAD2	NM_001256660.2
ENST00000359864.8	TEAD4	NM_003213.4
ENST00000381501.8	TEC	NM_003215.3
ENST00000447648.7	TECPR1	NM_015395.3
ENST00000359520.12	TECPR2	NM_014844.5
ENST00000215567.10	TECR	NM_138501.6
ENST00000381210.8	TECRL	NM_001010874.5
ENST00000392793.6	TECTA	NM_005422.4
ENST00000646139.2	TECTB	NM_058222.3
ENST00000392523.9	TEDC1	NM_001367178.1
ENST00000361837.9	TEDC2	NM_025108.3
ENST00000367565.2	TEDDM1	NM_172000.4
ENST00000266304.9	TEF	NM_003216.4
ENST00000581216.6	TEFM	NM_024683.4
ENST00000380036.10	TEK	NM_000459.5
ENST00000338694.7	TEKT1	NM_053285.2
ENST00000207457.8	TEKT2	NM_014466.3
ENST00000395930.6	TEKT3	NM_031898.3
ENST00000295201.5	TEKT4	NM_144705.4
ENST00000283025.7	TEKT5	NM_144674.2
ENST00000262319.11	TELO2	NM_016111.4
ENST00000397640.6	TEN1	NM_001113324.3
ENST00000511685.6	TENM3	NM_001080477.4
ENST00000278550.12	TENM4	NM_001098816.3
ENST00000230859.8	TENT4A	NM_006999.6
ENST00000561678.7	TENT4B	NM_001365324.3
ENST00000320172.11	TENT5A	NM_017633.3
ENST00000289166.6	TENT5B	NM_052943.4
ENST00000369448.4	TENT5C	NM_017709.4
ENST00000262715.10	TEP1	NM_007110.5
ENST00000637944.2	TEPSIN	NM_001363764.2
ENST00000433154.6	TERB1	NM_001136505.2
ENST00000340827.4	TERB2	NM_152448.3
ENST00000276603.10	TERF1	NM_017489.3
ENST00000254942.8	TERF2	NM_005652.5
ENST00000300086.5	TERF2IP	NM_018975.4
ENST00000310581.10	TERT	NM_198253.3
ENST00000358204.9	TES	NM_015641.4
ENST00000335209.12	TESC	NM_017899.4
ENST00000336395.6	TESK1	NM_006285.3
ENST00000372086.4	TESK2	NM_007170.3
ENST00000255087.10	TESMIN	NM_004923.3
ENST00000449076.6	TESPA1	NM_001136030.3
ENST00000373644.5	TET1	NM_030625.3
ENST00000380013.9	TET2	NM_001127208.3
ENST00000409262.8	TET3	NM_001287491.2
ENST00000374902.9	TEX10	NM_017746.4
ENST00000598265.2	TEX101	NM_001130011.3
ENST00000374333.7	TEX11	NM_031276.3
ENST00000280358.5	TEX12	NM_031275.4
ENST00000600991.6	TEX13A	NM_031274.5
ENST00000302917.1	TEX13B	NM_031273.2
ENST00000632372.3	TEX13D	NM_001355534.2
ENST00000349033.10	TEX14	NM_031272.5
ENST00000643185.2	TEX15	NM_001350162.2
ENST00000333437.5	TEX19	NM_207459.4
ENST00000584379.6	TEX2	NM_001288732.2
ENST00000451127.3	TEX22	NM_001195082.2
ENST00000380473.8	TEX26	NM_152325.3
ENST00000272438.9	TEX261	NM_144582.3
ENST00000341333.10	TEX264	NM_015926.6
ENST00000283547.2	TEX29	NM_152324.3
ENST00000376032.9	TEX30	NM_138779.5
ENST00000381821.2	TEX33	NM_001163857.2
ENST00000319416.7	TEX35	NM_032126.5
ENST00000368821.4	TEX36	NM_001128202.3
ENST00000303254.4	TEX37	NM_152670.3
ENST00000334122.5	TEX38	NM_001145474.4
ENST00000357147.4	TEX43	NM_207408.3
ENST00000313965.4	TEX44	NM_152614.3
ENST00000361664.7	TEX45	NM_198534.3
ENST00000566855.4	TEX46	NM_001242521.2
ENST00000297203.3	TEX47	NM_152706.4
ENST00000436752.3	TEX48	NM_001199233.2
ENST00000548380.6	TEX49	NM_001351123.2
ENST00000417563.3	TEX50	NM_001195190.3
ENST00000568484.6	TEX51	NM_001322244.2
ENST00000637658.2	TEX52	NM_001365174.2
ENST00000423632.3	TEX53	NM_001354645.2
ENST00000295622.6	TEX55	NM_152539.3
ENST00000402696.9	TF	NM_001063.4
ENST00000487519.6	TFAM	NM_003201.3
ENST00000379613.10	TFAP2A	NM_001372066.1
ENST00000393655.4	TFAP2B	NM_003221.4
ENST00000201031.3	TFAP2C	NM_003222.4
ENST00000008391.4	TFAP2D	NM_172238.4
ENST00000373235.4	TFAP2E	NM_178548.4
ENST00000204517.11	TFAP4	NM_003223.3
ENST00000367166.5	TFB1M	NM_016020.4
ENST00000366514.5	TFB2M	NM_022366.3
ENST00000257915.10	TFCP2	NM_005653.5
ENST00000263707.6	TFCP2L1	NM_014553.3
ENST00000375370.10	TFDP1	NM_007111.5
ENST00000489671.6	TFDP2	NM_001178139.2
ENST00000310125.5	TFDP3	NM_016521.3
ENST00000315869.8	TFE3	NM_006521.6
ENST00000373033.6	TFEB	NM_001271944.2
ENST00000265440.12	TFEC	NM_012252.4
ENST00000291527.3	TFF1	NM_003225.3
ENST00000291526.5	TFF2	NM_005423.5
ENST00000240851.9	TFG	NM_006070.6
ENST00000407690.6	TFIP11	NM_012143.4
ENST00000233156.9	TFPI	NM_006287.6
ENST00000222543.11	TFPI2	NM_006528.4
ENST00000391759.6	TFPT	NM_013342.4
ENST00000223051.8	TFR2	NM_003227.4
ENST00000360110.9	TFRC	NM_001128148.3
ENST00000220616.9	TG	NM_003235.5
ENST00000261296.7	TGDS	NM_014305.4
ENST00000295400.11	TGFA	NM_003236.4
ENST00000221930.6	TGFB1	NM_000660.7
ENST00000394863.8	TGFB1I1	NM_001042454.3
ENST00000366930.9	TGFB2	NM_003238.6
ENST00000238682.8	TGFB3	NM_003239.5
ENST00000442011.7	TGFBI	NM_000358.3
ENST00000374994.9	TGFBR1	NM_004612.4
ENST00000295754.10	TGFBR2	NM_003242.6
ENST00000212355.9	TGFBR3	NM_003243.5
ENST00000565886.2	TGFBR3L	NM_001195259.2
ENST00000393359.7	TGFBRAP1	NM_004257.6
ENST00000343820.10	TGIF1	NM_003244.4
ENST00000373872.9	TGIF2	NM_021809.7
ENST00000283891.6	TGIF2LX	NM_138960.4
ENST00000321217.5	TGIF2LY	NM_139214.3
ENST00000206765.11	TGM1	NM_000359.3
ENST00000361475.7	TGM2	NM_004613.4
ENST00000381458.6	TGM3	NM_003245.4
ENST00000296125.9	TGM4	NM_003241.4
ENST00000220420.10	TGM5	NM_201631.4
ENST00000202625.7	TGM6	NM_198994.3
ENST00000452443.3	TGM7	NM_052955.3
ENST00000377386.8	TGOLN2	NM_006464.4
ENST00000260129.6	TGS1	NM_024831.8
ENST00000352909.8	TH	NM_000360.4
ENST00000405975.7	THADA	NM_022065.5
ENST00000254250.7	THAP1	NM_018105.3
ENST00000249861.9	THAP10	NM_020147.4
ENST00000303596.3	THAP11	NM_020457.3
ENST00000260045.8	THAP12	NM_004705.4
ENST00000308086.3	THAP2	NM_031435.4
ENST00000407315.6	THAP4	NM_015963.6
ENST00000415914.4	THAP5	NM_001130475.3
ENST00000311638.7	THAP6	NM_144721.6
ENST00000215742.9	THAP7	NM_030573.3
ENST00000292894.2	THAP8	NM_152658.3
ENST00000302236.10	THAP9	NM_024672.6
ENST00000377103.3	THBD	NM_000361.3
ENST00000260356.6	THBS1	NM_003246.4
ENST00000617924.6	THBS2	NM_003247.5
ENST00000368378.7	THBS3	NM_007112.5
ENST00000350881.6	THBS4	NM_003248.6
ENST00000342640.9	THEG	NM_016585.5
ENST00000512175.3	THEGL	NM_001256475.2
ENST00000368814.8	THEM4	NM_053055.5
ENST00000368817.10	THEM5	NM_182578.4
ENST00000336138.4	THEM6	NM_016647.3
ENST00000373921.8	THEMIS2	NM_001105556.3
ENST00000231198.12	THG1L	NM_017872.5
ENST00000376356.5	THNSL1	NM_024838.5
ENST00000674334.2	THNSL2	NM_018271.5
ENST00000261600.11	THOC1	NM_005131.3
ENST00000245838.13	THOC2	NM_001081550.2
ENST00000265097.9	THOC3	NM_032361.4
ENST00000490103.6	THOC5	NM_003678.5
ENST00000326266.13	THOC6	NM_024339.5
ENST00000295899.10	THOC7	NM_025075.4
ENST00000307741.11	THOP1	NM_003249.5
ENST00000647395.1	THPO	NM_000460.4
ENST00000450525.7	THRA	NM_199334.5
ENST00000354618.10	THRAP3	NM_005119.4
ENST00000646209.2	THRB	NM_001354712.2
ENST00000281030.2	THRSP	NM_003251.4
ENST00000258613.5	THSD1	NM_018676.4
ENST00000423059.9	THSD7A	NM_015204.3
ENST00000409968.6	THSD7B	NM_001316349.2
ENST00000288014.7	THTPA	NM_024328.6
ENST00000396083.7	THUMPD1	NM_017736.5
ENST00000505747.6	THUMPD2	NM_025264.5
ENST00000452837.7	THUMPD3	NM_001114092.2
ENST00000284240.10	THY1	NM_006288.5
ENST00000341541.8	THYN1	NM_014174.3
ENST00000433529.7	TIA1	NM_022173.4
ENST00000436547.7	TIAL1	NM_003252.4
ENST00000248244.6	TICAM1	NM_182919.4
ENST00000427199.3	TICAM2	NM_021649.7
ENST00000268138.12	TICRR	NM_152259.4
ENST00000372476.8	TIE1	NM_005424.5
ENST00000361717.4	TIFA	NM_052864.3
ENST00000537858.2	TIFAB	NM_001099221.2
ENST00000179259.6	TIGAR	NM_020375.3
ENST00000408957.7	TIGD1	NM_145702.4
ENST00000603357.3	TIGD2	NM_145715.3
ENST00000309880.6	TIGD3	NM_145719.3
ENST00000304337.3	TIGD4	NM_145720.4
ENST00000504548.4	TIGD5	NM_032862.5
ENST00000296736.4	TIGD6	NM_030953.4
ENST00000396862.2	TIGD7	NM_033208.4
ENST00000383671.8	TIGIT	NM_173799.4
ENST00000274532.7	TIMD4	NM_138379.3
ENST00000553532.6	TIMELESS	NM_003920.5
ENST00000257245.9	TIMM10	NM_012456.3
ENST00000254616.11	TIMM10B	NM_012192.4
ENST00000215570.8	TIMM13	NM_012458.4
ENST00000367287.5	TIMM17A	NM_006335.3
ENST00000169551.11	TIMM21	NM_014177.3
ENST00000327158.5	TIMM22	NM_013337.4
ENST00000580018.4	TIMM23	NM_006327.4
ENST00000651259.3	TIMM23B	NM_001290117.2
ENST00000270502.7	TIMM29	NM_138358.4
ENST00000270538.8	TIMM44	NM_006351.4
ENST00000607714.6	TIMM50	NM_001001563.5
ENST00000372902.4	TIMM8A	NM_004085.4
ENST00000504148.3	TIMM8B	NM_012459.4
ENST00000395159.7	TIMM9	NM_012460.4
ENST00000494664.6	TIMMDC1	NM_016589.4
ENST00000218388.9	TIMP1	NM_003254.3
ENST00000262768.11	TIMP2	NM_003255.5
ENST00000266085.7	TIMP3	NM_000362.5
ENST00000287814.5	TIMP4	NM_003256.4
ENST00000259782.9	TINAG	NM_014464.4
ENST00000271064.12	TINAGL1	NM_022164.3
ENST00000267415.12	TINF2	NM_001099274.3
ENST00000295924.12	TIPARP	NM_015508.5
ENST00000261881.9	TIPIN	NM_017858.3
ENST00000367833.7	TIPRL	NM_152902.5
ENST00000392679.6	TIRAP	NM_001318777.2
ENST00000614355.5	TJP1	NM_001330239.4
ENST00000377245.9	TJP2	NM_004817.4
ENST00000541714.7	TJP3	NM_001267560.2
ENST00000301634.12	TK1	NM_003258.5
ENST00000544898.6	TK2	NM_004614.5
ENST00000394900.8	TKFC	NM_015533.4
ENST00000462138.6	TKT	NM_001064.4
ENST00000369915.8	TKTL1	NM_012253.4
ENST00000280605.5	TKTL2	NM_032136.5
ENST00000292090.8	TLCD1	NM_138463.4
ENST00000330676.8	TLCD2	NM_001164407.2
ENST00000308278.13	TLCD3A	NM_024792.3
ENST00000370203.9	TLCD4	NM_152487.3
ENST00000375095.3	TLCD5	NM_001198671.2
ENST00000217320.8	TLDC2	NM_080628.3
ENST00000376499.8	TLE1	NM_005077.5
ENST00000262953.11	TLE2	NM_003260.5
ENST00000451782.7	TLE3	NM_001105192.3
ENST00000376552.8	TLE4	NM_007005.6
ENST00000327141.9	TLE5	NM_001130.6
ENST00000246112.9	TLE6	NM_001143986.2
ENST00000561754.4	TLE7	NM_001367365.2
ENST00000431350.7	TLK1	NM_012290.5
ENST00000346027.10	TLK2	NM_006852.6
ENST00000061240.7	TLL1	NM_012464.5
ENST00000357947.4	TLL2	NM_012465.4
ENST00000314888.10	TLN1	NM_006289.4
ENST00000267984.4	TLNRD1	NM_022566.3
ENST00000308979.7	TLR1	NM_003263.4
ENST00000308973.9	TLR10	NM_030956.4
ENST00000642700.2	TLR2	NM_001318789.2
ENST00000296795.8	TLR3	NM_003265.3
ENST00000355622.8	TLR4	NM_138554.5
ENST00000642603.2	TLR5	NM_003268.6
ENST00000380659.4	TLR7	NM_016562.4
ENST00000218032.7	TLR8	NM_138636.5
ENST00000360658.3	TLR9	NM_017442.4
ENST00000370196.11	TLX1	NM_005521.4
ENST00000233638.8	TLX2	NM_016170.5
ENST00000296921.6	TLX3	NM_021025.4
ENST00000606498.5	TM2D1	NM_032027.3
ENST00000456397.7	TM2D2	NM_078473.3
ENST00000333202.8	TM2D3	NM_078474.3
ENST00000305366.8	TM4SF1	NM_014220.3
ENST00000296059.7	TM4SF18	NM_138786.4
ENST00000273695.4	TM4SF19	NM_138461.4
ENST00000304568.4	TM4SF20	NM_024795.4
ENST00000305354.5	TM4SF4	NM_004617.4
ENST00000270560.4	TM4SF5	NM_003963.3
ENST00000322019.14	TM6SF1	NM_023003.5
ENST00000389363.5	TM6SF2	NM_001001524.3
ENST00000279263.14	TM7SF2	NM_003273.6
ENST00000343028.9	TM7SF3	NM_016551.3
ENST00000261789.9	TM9SF1	NM_006405.7
ENST00000376387.5	TM9SF2	NM_004800.3
ENST00000371142.9	TM9SF3	NM_020123.4
ENST00000398022.7	TM9SF4	NM_014742.4
ENST00000358572.10	TMA16	NM_018352.3
ENST00000438607.2	TMA7	NM_015933.6
ENST00000258412.8	TMBIM1	NM_022152.6
ENST00000358230.8	TMBIM4	NM_016056.4
ENST00000267115.10	TMBIM6	NM_003217.3
ENST00000297784.10	TMC1	NM_138691.3
ENST00000358864.2	TMC2	NM_080751.3
ENST00000359440.6	TMC3	NM_001080532.3
ENST00000619895.5	TMC4	NM_144686.4
ENST00000542583.7	TMC5	NM_001261841.2
ENST00000590602.6	TMC6	NM_001127198.5
ENST00000304381.10	TMC7	NM_024847.4
ENST00000318430.10	TMC8	NM_152468.5
ENST00000358024.8	TMCC2	NM_014858.4
ENST00000261226.9	TMCC3	NM_020698.4
ENST00000367881.11	TMCO1	NM_019026.6
ENST00000372766.4	TMCO2	NM_001008740.4
ENST00000434316.7	TMCO3	NM_017905.6
ENST00000294543.11	TMCO4	NM_181719.7
ENST00000394671.8	TMCO6	NM_018502.5
ENST00000214869.7	TMED1	NM_006858.4
ENST00000303575.9	TMED10	NM_006827.6
ENST00000262225.8	TMED2	NM_006815.4
ENST00000299705.10	TMED3	NM_007364.4
ENST00000457408.7	TMED4	NM_182547.4
ENST00000370282.8	TMED5	NM_016040.5
ENST00000288025.4	TMED6	NM_144676.4
ENST00000456936.4	TMED7	NM_181836.6
ENST00000216468.8	TMED8	NM_213601.3
ENST00000332598.7	TMED9	NM_017510.6
ENST00000374879.5	TMEFF1	NM_003692.5
ENST00000272771.10	TMEFF2	NM_016192.4
ENST00000424486.3	TMEM100	NM_018286.3
ENST00000206380.8	TMEM101	NM_032376.4
ENST00000323206.2	TMEM102	NM_178518.3
ENST00000335464.10	TMEM104	NM_017728.4
ENST00000612339.4	TMEM106A	NM_145041.4
ENST00000396668.8	TMEM106B	NM_001134232.2
ENST00000429772.7	TMEM106C	NM_001143842.2
ENST00000437139.7	TMEM107	NM_183065.4
ENST00000321871.11	TMEM108	NM_023943.4
ENST00000227525.8	TMEM109	NM_024092.3
ENST00000317635.6	TMEM11	NM_003876.3
ENST00000266025.4	TMEM115	NM_007024.5
ENST00000552374.7	TMEM116	NM_001193531.2
ENST00000266534.8	TMEM117	NM_032256.3
ENST00000392806.4	TMEM119	NM_181724.3
ENST00000493111.7	TMEM120A	NM_031925.3
ENST00000449592.7	TMEM120B	NM_001080825.2
ENST00000392519.7	TMEM121	NM_025268.4
ENST00000331437.4	TMEM121B	NM_031890.4
ENST00000398136.7	TMEM123	NM_052932.3
ENST00000439858.6	TMEM125	NM_144626.3
ENST00000304511.7	TMEM126A	NM_032273.4
ENST00000358867.11	TMEM126B	NM_018480.7
ENST00000258439.8	TMEM127	NM_017849.4
ENST00000382753.5	TMEM128	NM_001297551.2
ENST00000382936.8	TMEM129	NM_001127266.2
ENST00000339375.9	TMEM130	NM_152913.3
ENST00000186436.10	TMEM131	NM_015348.2
ENST00000409959.8	TMEM131L	NM_001131007.2
ENST00000453848.7	TMEM132A	NM_178031.3
ENST00000422113.7	TMEM132D	NM_133448.3
ENST00000631683.2	TMEM132E	NM_001304438.2
ENST00000308022.7	TMEM134	NM_025124.4
ENST00000305494.6	TMEM135	NM_022918.4
ENST00000278826.11	TMEM138	NM_016464.5
ENST00000359333.8	TMEM139	NM_001282876.2
ENST00000275767.3	TMEM140	NM_018295.5
ENST00000290079.9	TMEM141	NM_032928.4
ENST00000293261.8	TMEM143	NM_018273.4
ENST00000296529.11	TMEM144	NM_018342.5
ENST00000301204.8	TMEM145	NM_173633.3
ENST00000222284.10	TMEM147	NM_032635.4
ENST00000211314.5	TMEM14A	NM_014051.4
ENST00000379542.10	TMEM14B	NM_030969.5
ENST00000229563.6	TMEM14C	NM_016462.4
ENST00000334462.10	TMEM150A	NM_001031738.3
ENST00000326652.9	TMEM150B	NM_001282011.2
ENST00000449862.7	TMEM150C	NM_001080506.3
ENST00000327259.5	TMEM151A	NM_153266.4
ENST00000451188.7	TMEM151B	NM_001137560.2
ENST00000304385.8	TMEM154	NM_152680.3
ENST00000381938.4	TMEM156	NM_024943.3
ENST00000503771.2	TMEM158	NM_015444.3
ENST00000233047.9	TMEM159	NM_001301771.2
ENST00000253047.7	TMEM160	NM_017854.2
ENST00000162044.14	TMEM161A	NM_017814.3
ENST00000296595.11	TMEM161B	NM_153354.5
ENST00000281924.6	TMEM163	NM_030923.5
ENST00000372068.7	TMEM164	NM_032227.4
ENST00000381334.10	TMEM165	NM_018475.5
ENST00000502346.2	TMEM167A	NM_174909.5
ENST00000338272.9	TMEM167B	NM_020141.4
ENST00000312814.11	TMEM168	NM_022484.6
ENST00000437356.7	TMEM169	NM_001142311.2
ENST00000335390.6	TMEM17	NM_198276.3
ENST00000561878.2	TMEM170A	NM_145254.3
ENST00000379426.2	TMEM170B	NM_001100829.3
ENST00000454765.7	TMEM171	NM_173490.8
ENST00000296776.6	TMEM174	NM_153217.3
ENST00000264771.9	TMEM175	NM_032326.4
ENST00000004103.8	TMEM176A	NM_018487.3
ENST00000326442.10	TMEM176B	NM_001101312.2
ENST00000272521.7	TMEM177	NM_030577.3
ENST00000281961.3	TMEM178A	NM_152390.3
ENST00000565468.6	TMEM178B	NM_001195278.2
ENST00000556573.6	TMEM179	NM_001286389.2
ENST00000333449.9	TMEM179B	NM_199337.3
ENST00000281017.8	TMEM18	NM_152834.4
ENST00000412401.3	TMEM182	NM_144632.5
ENST00000367242.4	TMEM183A	NM_138391.6
ENST00000297477.10	TMEM184A	NM_001097620.2
ENST00000361906.8	TMEM184B	NM_012264.5
ENST00000296582.8	TMEM184C	NM_018241.3
ENST00000600449.8	TMEM185A	NM_032508.4
ENST00000426077.3	TMEM185B	NM_024121.3
ENST00000333050.7	TMEM186	NM_015421.4
ENST00000369982.5	TMEM187	NM_003492.3
ENST00000266673.10	TMEM19	NM_018279.4
ENST00000291934.4	TMEM190	NM_139172.3
ENST00000612978.5	TMEM191B	NM_001242313.1
ENST00000306480.11	TMEM192	NM_001100389.2
ENST00000405844.6	TMEM196	NM_001363562.2
ENST00000373883.4	TMEM198	NM_001005209.3
ENST00000292114.8	TMEM199	NM_152464.3
ENST00000296978.4	TMEM200A	NM_001258277.2
ENST00000521452.2	TMEM200B	NM_001003682.4
ENST00000340381.11	TMEM201	NM_001130924.3
ENST00000341689.4	TMEM202	NM_001080462.3
ENST00000343666.6	TMEM203	NM_053045.2
ENST00000566264.2	TMEM204	NM_024600.6
ENST00000354882.10	TMEM205	NM_198536.3
ENST00000354905.3	TMEM207	NM_207316.3
ENST00000304800.14	TMEM208	NM_014187.4
ENST00000397622.7	TMEM209	NM_032842.4
ENST00000413619.3	TMEM210	NM_001282477.2
ENST00000334567.9	TMEM212	NM_001164436.2
ENST00000442682.7	TMEM213	NM_001085429.2
ENST00000238788.14	TMEM214	NM_017727.5
ENST00000342743.6	TMEM215	NM_212558.3
ENST00000515837.7	TMEM216	NM_001173990.3
ENST00000279396.11	TMEM219	NM_001083613.2
ENST00000341871.8	TMEM220	NM_001004313.3
ENST00000341130.6	TMEM221	NM_001190844.2
ENST00000374076.9	TMEM222	NM_032125.3
ENST00000307366.8	TMEM223	NM_001080501.3
ENST00000375026.7	TMEM225	NM_001013743.3
ENST00000431679.6	TMEM225B	NM_001195541.3
ENST00000455783.3	TMEM229A	NM_001136002.2
ENST00000342308.10	TMEM230	NM_001009923.2
ENST00000258173.11	TMEM231	NM_001077418.3
ENST00000455884.7	TMEM232	NM_001039763.4
ENST00000426426.3	TMEM233	NM_001136534.3
ENST00000309777.11	TMEM234	NM_019118.5
ENST00000377495.2	TMEM236	NM_001098844.3
ENST00000409883.7	TMEM237	NM_001044385.3
ENST00000444469.4	TMEM238	NM_001190764.2
ENST00000380585.2	TMEM239	NM_001167670.3
ENST00000378733.9	TMEM240	NM_001114748.2
ENST00000383233.8	TMEM241	NM_032933.6
ENST00000400788.9	TMEM242	NM_018452.6
